LANGUAGECODE|RULENUMBER|CODE|FIELDNAME|DESCRIPTION
ES|467|field.empty|securityAnswer|No se ha introducido la pregunta de control
ES|476|field.empty|securityQuestion|No se ha seleccionado la pregunta de control
ES|266|field.empty|email|No se ha introducido el Email
ES|252|field.empty|password|No se ha introducido la contraseña
ES|231|field.empty|userId|No se ha introducido el User ID
ES|982|field.empty|emailMessage|El mensaje de correo electrónico está vacío
ES|983|field.empty|topic|No se ha elegido un tema
ES|985|field.empty|posteCode|No se ha introducido el código postal
ES|980|field.format|email|El formato de Email no es válido
ES|981|field.empty|email|No se ha seleccionado el tipo de E-mail
ES|284|field.empty|contactPrefEmail|No se ha seleccionado la privacidad del Email
ES|279|field.empty|residentCountryCode|No se ha seleccionado el país o región de residencia
ES|277|field.empty|langCode|No se ha elegido el idioma preferido
ES|991|field.empty|sms|No se ha seleccionado la privacidad del SMS
ES|990|field.empty|company|No se ha introducido el nombre de la empresa
ES|989|field.empty|companyNumber|No se ha introducido el número de la empresa
ES|988|field.empty|workAddress|No se ha introducido la dirección del trabajo
ES|987|field.empty|city|No se ha introducido la ciudad
ES|986|field.empty|country|No se ha seleccionado el país
FI|998|field.empty|workPhone|Työnumeroa ei ole syötetty
FI|997|field.empty|mobilePhone|Matkapuhelinnumeroa ei ole syötetty
FI|999|field.empty|jobFunction|Toimenkuvaa ei ole valittu
FI|996|field.empty|faxNumber|Faksinumeroa ei ole syötetty
FI|995|field.empty|contactPrefEmail|Sähköpostin suojausta ei ole valittu
FI|994|field.empty|contactPrefTelephone|Puhelimen suojausta ei ole valittu
FI|993|field.empty|contactPrefPost|Postin suojausta ei ole valittu
FI|992|field.empty|fax|Faksin suojausta ei ole valittu
FI|984|field.empty|title|Titteliä ei ole valittu
FI|263|field.empty|firstName|Etunimeä ei ole syötetty
FI|258|field.empty|lastName|Sukunimeä ei ole syötetty
FI|467|field.empty|securityAnswer|Salasanan muistikysymyksen vastausta ei ole syötetty
FI|476|field.empty|securityQuestion|Muistikysymystä ei ole valittu
FI|266|field.empty|email|Sähköpostiosoitetta ei ole syötetty
FI|252|field.empty|password|Salasanaa ei ole syötetty
FI|231|field.empty|userId|Käyttäjätunnusta ei ole syötetty
FI|982|field.empty|emailMessage|Sähköpostiviesti on tyhjä
FI|983|field.empty|topic|Otsikkoa ei ole valittu
FI|985|field.empty|posteCode|Postinumeroa ei ole syötetty
FI|980|field.format|email|Sähköpostiosoite on virheellinen
FI|981|field.empty|email|Sähköpostin tyyppiä ei ole valittu
FI|284|field.empty|contactPrefEmail|Sähköpostin suojausta ei ole valittu
FI|279|field.empty|residentCountryCode|Maata ei ole valittu
FI|277|field.empty|langCode|Toivottua kieltä ei ole syötetty
FI|991|field.empty|sms|SMS suojausta ei ole valittu
FI|990|field.empty|company|Yritystä ei ole syötetty
FI|989|field.empty|companyNumber|Yrityksen kumppani ID:tä ei ole syötetty
FI|988|field.empty|workAddress|Työosoitetta ei ole syötetty
FI|987|field.empty|city|Kaupunkia ei ole syötetty
FI|986|field.empty|country|Maata ei ole valittu
FR|998|field.empty|workPhone|Votre numéro de téléphone de bureau n'est pas saisi.
FR|997|field.empty|mobilePhone|Votre numéro de téléphone mobile n'est pas saisi.
FR|999|field.empty|jobFunction|Votre fonction n'est pas sélectionnée.
FR|996|field.empty|faxNumber|Votre numéro de fax n'est pas saisi.
FR|995|field.empty|contactPrefEmail|E-Mail privacy not selected.
FR|994|field.empty|contactPrefTelephone|Phone privacy not selected
FR|993|field.empty|contactPrefPost|Postal mail privacy not selected.
FR|992|field.empty|fax|Fax privacy not selected.
FR|984|field.empty|title|Titre non sélectionné.
FR|263|field.empty|firstName|Votre prénom n'est pas saisi.
DA|476|field.empty|securityQuestion|Huske spørgsmål ikke indtastet
DA|266|field.empty|email|E-Mail ikke indtastet
DA|252|field.empty|password|Password ikke indtastet.
DA|231|field.empty|userId|Bruger ID ikke indtastet.
DA|982|field.empty|emailMessage|Email meddelse er tom
DA|983|field.empty|topic|Titel ikke valgt
DA|985|field.empty|posteCode|Postnummer ikke indtastet
DA|980|field.format|email|E-mail adresse format er ugyldig
DA|981|field.empty|email|E-mail type ikke sat
DA|284|field.empty|contactPrefEmail|E-Mail fortrolighed ikke valgt
DA|279|field.empty|residentCountryCode|Land/Region ikke valgt
DA|277|field.empty|langCode|Foretrukne sprog ikke valgt
DA|991|field.empty|sms|SMS fortrolighed ikke valgt
DA|990|field.empty|company|Firma ikke valgt
DA|989|field.empty|companyNumber|Firma nummer ikke indtastet
DA|988|field.empty|workAddress|Firma adresse ikke indtastet
DA|987|field.empty|city|By ikke indtastet
DA|986|field.empty|country|Land ikke valgt
DE|998|field.empty|workPhone|Telefon (geschäftlich) nicht eingegeben
DE|997|field.empty|mobilePhone|Telefon (mobil) nicht eingegeben
DE|999|field.empty|jobFunction|Job FunKtion nicht ausgewählt
DE|996|field.empty|faxNumber|Fax nicht eingegeben
DE|995|field.empty|contactPrefEmail|E-Mail Datenschutz nicht ausgewählt
DE|994|field.empty|contactPrefTelephone|Telefon Datenschutz nicht ausgewählt
DE|993|field.empty|contactPrefPost|Briefpost Datenschutz nicht ausgewählt
DE|992|field.empty|fax|Fax Datenschutz nicht ausgewählt
DE|984|field.empty|title|Titel nicht ausgewählt
DE|263|field.empty|firstName|Vorname nicht eingegeben
DE|258|field.empty|lastName|Nachname nicht eingegeben
DE|467|field.empty|securityAnswer|Antwort auf Sicherheitsfrage nicht eingegeben
DE|476|field.empty|securityQuestion|Sicherheitsfrage nicht ausgewählt
DE|266|field.empty|email|E-Mail nicht eingegeben
DE|252|field.empty|password|Passwort nicht eingegeben
DE|231|field.empty|userId|User ID nicht eingegeben
DE|982|field.empty|emailMessage|Email Nachricht ist leer
DE|983|field.empty|topic|Keine Thema ausgewählt
DE|985|field.empty|posteCode|Postleitzahl kann nicht eingegeben werden
DE|980|field.format|email|E-mail Adress Format ist ungültig
DE|981|field.empty|email|E-mail Typ nicht eingegeben
DE|284|field.empty|contactPrefEmail|E-Mail Datenschutz nicht ausgewählt
DE|279|field.empty|residentCountryCode|Land nicht ausgewählt
DE|277|field.empty|langCode|bevorzugte Sprache nicht eingegeben
DE|991|field.empty|sms|SMS Datenschutz nicht ausgewählt
DE|990|field.empty|company|Unternehmen nicht eingegeben
DE|989|field.empty|companyNumber|Unternehmen Nummer nicht eingegeben
DE|988|field.empty|workAddress|Adresse (geschäftlich) nicht eingegeben
DE|987|field.empty|city|Stadt nicht eingegeben
DE|986|field.empty|country|kein Land ausgewählt
EL|998|field.empty|workPhone|Το τηλέφωνο της εργασίας δεν έχει συμπληρωθεί
EL|997|field.empty|mobilePhone|Το κινητό τηλέφωνο δεν έχει συμπληρωθεί
EL|999|field.empty|jobFunction|Η θέση δεν έχει επιλεγεί
EL|996|field.empty|faxNumber|Ο αριθμός φαξ δεν έχει συμπληρωθεί
EL|994|field.empty|contactPrefTelephone|Δεν έχετε επιλέξει εάν επιθυμείτε να δέχεστε τηλέφωνα
EL|993|field.empty|contactPrefPost|Δεν έχετε επιλέξει εάν επιθυμείτε να λαμβάνετε γράμματα
EL|992|field.empty|fax|Δεν έχετε επιλέξει εάν επιθυμείτε να λαμβάνετε φαξ
EL|984|field.empty|title|Ο τίτλος δεν έχει επιλεγεί
EL|263|field.empty|firstName|Το μικρό όνομα δεν έχει συμπληρωθεί
EL|258|field.empty|lastName|Το επώνυμο δεν έχει συμπληρωθεί
EL|476|field.empty|securityQuestion|Η ερώτηση επιβεβαίωσης δεν έχει επιλεγεί
EL|266|field.empty|email|Η ηλεκτρονική διεύθυνση δεν έχει συμπληρωθεί
EL|252|field.empty|password|Ο κωδικός πρόσβασης δεν έχει συμπληρωθεί
EL|231|field.empty|userId|Το όνομα χρήστη δεν έχει συμπληρωθεί
EL|982|field.empty|emailMessage|Το περιεχόμενο του ηλεκτρονικού γράμματος είναι κενό
EL|983|field.empty|topic|Το θέμα δεν έχει επιλεγεί
EL|985|field.empty|posteCode|Ο ταχυδρομικός κωδικός δεν έχει συμπληρωθεί
EL|980|field.format|email|Η σύνταξη της ηλεκτρονικής διεύθυνσης δεν είναι σωστή
BG|981|field.empty|email|Типът на имейл адреса не е определен
BG|284|field.empty|contactPrefEmail|Имейл конфиденциалността не е избрана
BG|279|field.empty|residentCountryCode|Държава/Регион не са избрани
BG|277|field.empty|langCode|Предпочитаният език не е въведен
BG|991|field.empty|sms|SMS конфиденциалността не е избрана
BG|990|field.empty|company|Държавата не е избрана
BG|989|field.empty|companyNumber|Служебният номер не е въведен
BG|988|field.empty|workAddress|Служебният адрес не е въведен
BG|987|field.empty|city|Градът не е въведен
BG|986|field.empty|country|Държавата не е въведена
CS|998|field.empty|workPhone|telefonní číslo nebylo vyplněno
CS|997|field.empty|mobilePhone|číslo mobilu nebylo vyplněno
CS|999|field.empty|jobFunction|funkce nebyla vybrána
CS|996|field.empty|faxNumber|číslo faxu nebylo vyplněno
CS|995|field.empty|contactPrefEmail|typ komunikace přes email nevybrána
CS|994|field.empty|contactPrefTelephone|typ komunikace přes telefon nevybrána
CS|993|field.empty|contactPrefPost|typ komunikace přes poštu nevybrána
CS|992|field.empty|fax|typ komunikace přes fax nevybrána
CS|984|field.empty|title|titul nebyl vybrán
CS|263|field.empty|firstName|jméno nebylo vyplněno
CS|258|field.empty|lastName|příjmení nebylo vyplněno
CS|467|field.empty|securityAnswer|odpověď na kontrolní otázku nebyla vyplněna
CS|476|field.empty|securityQuestion|kontrolní otázka nebyla vyplněna
CS|266|field.empty|email|emailová adresa nebyla vyplněna
CS|252|field.empty|password|heslo nebylo vyplněno
CS|231|field.empty|userId|login nebyl vyplněn
CS|982|field.empty|emailMessage|zpráva je prázdná
CS|983|field.empty|topic|téma nebylo vybráno
CS|985|field.empty|posteCode|PSČ nebylo vyplněno
CS|980|field.format|email|emailová adresa není v patřičném formátu
CS|981|field.empty|email|emailová adresa nevyplněna
CS|284|field.empty|contactPrefEmail|typ komunikace přes email nevybrána
CS|279|field.empty|residentCountryCode|země nebyla vybrána
CS|277|field.empty|langCode|preferovaný jazyk nebyl vybrán
CS|991|field.empty|sms|typ komunikace přes sms nevybrána
CS|990|field.empty|company|společnost nebyla vyplněna
CS|989|field.empty|companyNumber|Partner ID nebylo vyplněno
CS|988|field.empty|workAddress|adresa nebyla vyplněna
CS|987|field.empty|city|město nebylo vyplněno
CS|986|field.empty|country|země nebyla vyplněna
DA|998|field.empty|workPhone|Firma telefon ikke indtastet
BG|998|field.empty|workPhone|Служебният телефон не е въведен
BG|997|field.empty|mobilePhone|Мобилният телефон не е въведен
BG|999|field.empty|jobFunction|Длъжността не е въведена
BG|996|field.empty|faxNumber|Факсът не е въведен
BG|995|field.empty|contactPrefEmail|Имейл конфиденциалността не е избрана
BG|994|field.empty|contactPrefTelephone|Конфиденциалността на телефона не е избрана
BG|993|field.empty|contactPrefPost|Пощенската конфиденциалност не е избрана
BG|992|field.empty|fax|Факс конфиденциалността не е избрана
BG|984|field.empty|title|Обращението не е избрано
BG|263|field.empty|firstName|Името не е въведено
BG|258|field.empty|lastName|Фамилията не е въведена
BG|467|field.empty|securityAnswer|Отговорът на контролен въпрос не е въведен
BG|476|field.empty|securityQuestion|Контролният въпрос не е избран
BG|266|field.empty|email|Имейлът не е въведен
DA|997|field.empty|mobilePhone|Mobil telefon ikke indtastet
DA|999|field.empty|jobFunction|Job funktion ikke valgt
DA|996|field.empty|faxNumber|Fax ikke indtastet
DA|995|field.empty|contactPrefEmail|E-Mail fortrolighed ikke valgt
DA|994|field.empty|contactPrefTelephone|Phone fortrolighed ikke valgt
DA|993|field.empty|contactPrefPost|Post fortrolighed ikke valgt
DA|992|field.empty|fax|Fax fortrolighed ikke valgt
DA|984|field.empty|title|Titel ikke valgt
DA|263|field.empty|firstName|Fornavn ikke indtastet
DA|258|field.empty|lastName|Efternavn ikke indtastet
DA|467|field.empty|securityAnswer|Huske svar ikke indtastet
RO|263|field.empty|firstName|Nu a fost introdus prenumele
RO|258|field.empty|lastName|Nu a fost introdus numele de familie
RO|467|field.empty|securityAnswer|Nu a fost selectat raspunsul secret
RO|476|field.empty|securityQuestion|Nu a fost selectata intrebarea secreta
RO|266|field.empty|email|Adresa de e-mail nu a fost introdusa
RO|252|field.empty|password|Nu a fost introdusa parola
RO|231|field.empty|userId|Nu a fost introdus User ID-ul
RO|982|field.empty|emailMessage|Mesajul de e-mail nu contine nimic
RO|983|field.empty|topic|Nu a fost selectata o topica
RO|985|field.empty|posteCode|Nu a fost introdus codul postal
RO|980|field.format|email|Formatul adresei de e-mail nu este valid
RO|981|field.empty|email|Nu a fost setat tipul de e-mail
RO|284|field.empty|contactPrefEmail|Nu a fost selectata confidentialitatea adresei de e-mail
RO|279|field.empty|residentCountryCode|Tara/Regiunea de rezidenta nu a fost introdusa
RO|277|field.empty|langCode|Nu a fost introdusa limba preferata
RO|991|field.empty|sms|Nu a fost selectata confidentialitatea SMS-ului
RO|990|field.empty|company|Nu a fost introdusa compania
RO|989|field.empty|companyNumber|Nu a fost introdus numarul companiei
RO|988|field.empty|workAddress|Nu a fost introdusa adresa de la birou
RO|987|field.empty|city|Nu a fost introdus orasul
RO|986|field.empty|country|Nu a fost selectata tara
RU|998|field.empty|workPhone|Телефон не указан
RU|997|field.empty|mobilePhone|Мобильный телефон не указан
RU|999|field.empty|jobFunction|Должность не указана
RU|996|field.empty|faxNumber|Номер факса не указан
RU|995|field.empty|contactPrefEmail|Разрешение коммуникации по e-mail не указано
RU|994|field.empty|contactPrefTelephone|Разрешение коммуникации по телефону не указано
RU|993|field.empty|contactPrefPost|Разрешение коммуникации по почте не указано
RU|992|field.empty|fax|Разрешение коммуникации по факсу не указано
RU|984|field.empty|title|Обращение не указано
RU|263|field.empty|firstName|Имя не указано
RU|258|field.empty|lastName|Фамилия не указана
RU|467|field.empty|securityAnswer|Секретный ответ не указан
RU|476|field.empty|securityQuestion|Секретный вопрос не указан
RU|266|field.empty|email|Адрес электронной почты не указан
RU|252|field.empty|password|Пароль не введен.
RU|231|field.empty|userId|Идентификатор пользователя не введен.
RU|982|field.empty|emailMessage|Электронное письмо пусто
RU|983|field.empty|topic|Тема не выбрана
RU|985|field.empty|posteCode|Почтовый индекс не указан
RU|980|field.format|email|Формат e-mail не верен
RU|981|field.empty|email|Тип E-mail не установлен
RU|284|field.empty|contactPrefEmail|Разрешение коммуникации по e-mail не указано
RU|279|field.empty|residentCountryCode|Страна/Регион не указаны
RU|277|field.empty|langCode|Предпочитаемый язык не указан
RU|991|field.empty|sms|Разрешение коммуникации по СМС не указано
RU|990|field.empty|company|Компания не указана
RU|989|field.empty|companyNumber|Номер компании не введен
PT|981|field.empty|email|Tipo do E-mail não ajustado
PT|284|field.empty|contactPrefEmail|E-Mail privado não foi seleccionado
PT|279|field.empty|residentCountryCode|País/Região de residência não selecionado
PT|277|field.empty|langCode|Língua preferida não foi colocada
PT|991|field.empty|sms|SMS privado não foi seleccionado
BG|252|field.empty|password|Паролата не е въведена.
BG|231|field.empty|userId|Потребителското име не е въведено.
BG|982|field.empty|emailMessage|Имейл съобщението е празно
BG|983|field.empty|topic|Темата не е избрана
BG|985|field.empty|posteCode|Пощенският код не е въведен
BG|980|field.format|email|Форматът на имейл адреса е невалиден
TR|996|field.empty|faxNumber|Faks numarasi yazilmadi
TR|995|field.empty|contactPrefEmail|E-posta gizliligi secilmedi
TR|994|field.empty|contactPrefTelephone|Telefon gizliligi secilmedi
TR|993|field.empty|contactPrefPost|Posta gizliligi secilmedi
TR|992|field.empty|fax|Faks gizliligi secilmedi
TR|984|field.empty|title|Cinsiyet secilmedi
TR|263|field.empty|firstName|Isim yazilmadi
TR|258|field.empty|lastName|Soyadi yazilmadi
TR|467|field.empty|securityAnswer|Gizlilik sorusunun cevabi yazilmadi
TR|476|field.empty|securityQuestion|Gizlilik sorusu yazilmadi
TR|266|field.empty|email|E-posta yazilmadi
RU|988|field.empty|workAddress|Адрес не указан
RU|987|field.empty|city|Город не указан
RU|986|field.empty|country|Страна не выбрана
SL|998|field.empty|workPhone|Službeni telefon ni vnešen
SL|997|field.empty|mobilePhone|Mobilni telefon ni vnešen
SL|999|field.empty|jobFunction|Poklic ni izbran
SL|996|field.empty|faxNumber|Faks ni vnešen
SL|995|field.empty|contactPrefEmail|Izjava o zasebnosti o uporabi vašega e-naslova ni potrjena
SL|994|field.empty|contactPrefTelephone|Izjava o zasebnosti vaše telefonske številke ni potrjena
SL|993|field.empty|contactPrefPost|Izjava o zasebnosti vašega naslova ni potrjena
SL|992|field.empty|fax|Izjava o zasebnosti vaše kaks številke ni potrjena
SL|984|field.empty|title|Naslov ni izbran
SL|263|field.empty|firstName|Ime ni vnešeno
SL|258|field.empty|lastName|Priimek ni vnešen
SL|467|field.empty|securityAnswer|Vaša vprašanja za potrditev gesla niso vnešena
SL|476|field.empty|securityQuestion|Vprašanje za obnovitev gesla ni izbrano
SL|266|field.empty|email|E-naslov ni vnešen
SL|252|field.empty|password|Geslo ni vnešeno
SL|231|field.empty|userId|Uporabnički račun ni vnešen.
SL|982|field.empty|emailMessage|E-sporočilo je prazno
SL|983|field.empty|topic|Tema ni izbrana
SL|985|field.empty|posteCode|Postna številka ni vnešena
SL|980|field.format|email|Oblika vašega e-naslova je napačna
SL|981|field.empty|email|Tip e-naslova ni nastavljen
SL|284|field.empty|contactPrefEmail|Izjava o zasebnosti o uporabi vašega e-naslova ni izbrana.
SL|279|field.empty|residentCountryCode|Država porekla ni izbrana
SL|277|field.empty|langCode|Jezik ni vnešen
SL|991|field.empty|sms|Izjava o zasebnosti o uporabi SMS sporočila ni izbrana
SL|990|field.empty|company|Podjetje ni vnešeno
SL|989|field.empty|companyNumber|Službeni telefon ni vnešen
SL|988|field.empty|workAddress|Službeni naslov ni vnešen
SL|987|field.empty|city|Mesto ni vnešeno
SL|986|field.empty|country|Država ni izbrana
SK|998|field.empty|workPhone|Nezadali ste číslo pracovného telefónu
SK|997|field.empty|mobilePhone|Nezadali ste číslo mobilného telefónu
SK|999|field.empty|jobFunction|Nevybrali ste si pracovnú funkciu
SK|996|field.empty|faxNumber|Nezadali ste číslo faxu
SK|995|field.empty|contactPrefEmail|Nepotvrdili ste súhlas so spracovaním vašej Emailovej adresy
SK|994|field.empty|contactPrefTelephone|Nepotvrdili ste súhlas so spracovaním vášho telefónneho čísla
SK|993|field.empty|contactPrefPost|Nepotvrdili ste súhlas so spracovaním vašej poštovej adresy
SK|992|field.empty|fax|Nepotvrdili ste súhlas so spracovaním vášho faxového čísla
SK|984|field.empty|title|Nevybrali ste si titul
SK|263|field.empty|firstName|Nezadali ste krstné meno
SK|258|field.empty|lastName|Nezadali ste priezvisko
SK|467|field.empty|securityAnswer|Nezadali ste kontrolnú odpoveď
SK|476|field.empty|securityQuestion|Nezadali ste kontrolnú otázku
SK|266|field.empty|email|Nezadali ste email
SK|252|field.empty|password|Nezadali ste heslo
SK|231|field.empty|userId|Nezadali ste používateľské ID
SK|982|field.empty|emailMessage|Emailová správa je prázdna
SK|983|field.empty|topic|Nezadali ste predmet
SK|985|field.empty|posteCode|Nezadali ste PČS
SK|980|field.format|email|Formát E-mailovej adresy je neplatný
SK|981|field.empty|email|Nezadali ste typ E-mailu
SK|284|field.empty|contactPrefEmail|Nepotvrdili ste súhlas so spracovaním vašej Emailovej adresy
SK|279|field.empty|residentCountryCode|Country
SK|277|field.empty|langCode|Nezadali ste preferovaný jazyk
SK|991|field.empty|sms|Nepotvrdili ste súhlas so spracovaním vášho sms kontaktu
SK|990|field.empty|company|Nezadali ste spoločnosť
SK|989|field.empty|companyNumber|Nezadali ste ičo
SK|988|field.empty|workAddress|nezadali ste adresu spoločnosti
SK|987|field.empty|city|Nezadali ste mesto
SK|986|field.empty|country|Nevybrali ste krajinu
SV|998|field.empty|workPhone|Jobbtelefon ej angivet
SV|997|field.empty|mobilePhone|Mobiltelefon ej angivet
SV|999|field.empty|jobFunction|Arbetsbeskrivning ej angivet
SV|996|field.empty|faxNumber|Fax ej angivet
SV|995|field.empty|contactPrefEmail|E-post sekretess ej angivet
SV|994|field.empty|contactPrefTelephone|Telefonsekretss ej angivet
SV|993|field.empty|contactPrefPost|Postsekretess ej angivet
SV|992|field.empty|fax|Faxsekretess ej angivet
SV|984|field.empty|title|Title ej angivet
PT|990|field.empty|company|Empresa não foi colocada
PT|989|field.empty|companyNumber|Número da Empresa não foi colocado
PT|988|field.empty|workAddress|Endereço do trabalho não foi colocado
PT|987|field.empty|city|Cidade não foi colocada
PT|986|field.empty|country|País não foi seleccionado
RO|998|field.empty|workPhone|Numarul de telefon de la birou nu a fost introdus
RO|997|field.empty|mobilePhone|Numarul de telefon mobil nu a fost introdus
RO|999|field.empty|jobFunction|Functia nu a fost selectata
RO|996|field.empty|faxNumber|Numarul de fax nu a fost introdus
RO|995|field.empty|contactPrefEmail|Nu a fost selectata confidentialitatea adresei de e-mail
RO|994|field.empty|contactPrefTelephone|Nu a fost selectata confidentialitatea numarului de telefon
RO|993|field.empty|contactPrefPost|Nu a fot selectata confidentialitatea adresei postale
RO|992|field.empty|fax|Nu a fost selectata confidentialitatea numarului de fax
RO|984|field.empty|title|Nu a fost selectat titlul
TR|231|field.empty|userId|Kullanici adi yazilmadi.
TR|982|field.empty|emailMessage|E-posta mesaji bos
TR|983|field.empty|topic|Konu secilmedi
TR|985|field.empty|posteCode|Posta kodu yazilmadi
TR|980|field.format|email|E-posta adres formati dogru degil
TR|981|field.empty|email|E-posta turu secilmedi
TR|284|field.empty|contactPrefEmail|E-posta gizliliği secilmedi
TR|279|field.empty|residentCountryCode|Yasanan Ulke/Bolge secilmedi
TR|277|field.empty|langCode|Tercih edilen dil yazilmadi
TR|991|field.empty|sms|SMS gizliligi secilmedi
TR|990|field.empty|company|Sirket bilgisi yazilmadi
TR|989|field.empty|companyNumber|Sirket numarasi yazilmadi
TR|988|field.empty|workAddress|Is adresi yazilmadi
TR|987|field.empty|city|Sehir yazilmadi
TR|986|field.empty|country|Ulke secilmedi
EN|998|field.empty|workPhone|Work phone not entered
EN|997|field.empty|mobilePhone|Mobile phone not entered
EN|999|field.empty|jobFunction|Job function not selected
EN|996|field.empty|faxNumber|Fax not entered
EN|995|field.empty|contactPrefEmail|E-Mail privacy not selected
EN|994|field.empty|contactPrefTelephone|Phone privacy not selected
EN|993|field.empty|contactPrefPost|Postal mail privacy not selected
EN|992|field.empty|fax|Fax privacy not selected
EN|984|field.empty|title|Title not Selected
EN|263|field.empty|firstName|First Name not entered
EN|258|field.empty|lastName|Last Name not entered
EN|467|field.empty|securityAnswer|Challenge answer not entered
EN|476|field.empty|securityQuestion|Challenge question not selected
EN|266|field.empty|email|E-Mail not entered
EN|252|field.empty|password|Password not entered.
EN|231|field.empty|userId|User ID not entered.
EN|982|field.empty|emailMessage|Email message is empty
EN|983|field.empty|topic|Topic not Selected
EN|985|field.empty|posteCode|Post code not entered
EN|980|field.format|email|E-mail address format is invalid
EN|981|field.empty|email|E-mail type not set
EN|284|field.empty|contactPrefEmail|E-Mail privacy not selected
EN|279|field.empty|residentCountryCode|Country of Business not selected
EN|277|field.empty|langCode|Preferred Language not entered
EN|991|field.empty|sms|SMS privacy not selected
EN|990|field.empty|company|Partner name not entered
EN|989|field.empty|companyNumber|Company number not entered
EN|988|field.empty|workAddress|Work address not entered
EN|987|field.empty|city|City not entered
EN|986|field.empty|country|Country not selected
